timestamp,price,daily_change,moving_average_7,max_price,min_price,price_category
2024-09-07 03:15:36.881,53813.39090838916,0.034375912213402415,53753.19961806556,False,False,Very Low
2024-09-07 04:07:21.612,53806.07395267369,-0.013596905141943783,53824.836572198066,False,False,Very Low
2024-09-07 05:08:57.457,54028.17614823898,0.4127827571300591,53856.93625046852,True,False,Very Low
2024-09-07 06:10:30.042,54171.76650009698,0.2657693857072374,53924.24326881921,True,False,Very Low
2024-09-07 07:06:16.981,54276.07839995552,0.19255768566888154,53970.09541698104,True,False,Very Low
2024-09-07 08:05:29.138,54260.814238357576,-0.02812318437132033,54021.59979557778,False,False,Very Low
2024-09-07 09:06:30.058,54358.71012996293,0.1804172918882463,54102.14432538213,True,False,Very Low
2024-09-07 10:16:15.798,54312.33256235887,-0.08531763813596216,54173.421704520646,False,False,Very Low
2024-09-07 11:20:23.563,54410.95836986007,0.18159007880569344,54259.8337641187,True,False,Very Low
2024-09-07 12:07:41.731,54433.38027259792,0.041208431921813116,54317.72006759855,True,False,Very Low
2024-09-07 13:04:27.656,54560.49986085692,0.23353241636363542,54373.25340484997,True,False,Very Low
2024-09-07 14:21:09.660,54601.959668171454,0.07598868672440418,54419.80787173797,True,False,Very Low
2024-09-07 15:24:18.763,54641.18178713784,0.07183280454536867,54474.14609299228,True,False,Very Low
2024-09-07 16:00:56.547,54814.8188490265,0.31777691515730844,54539.304481429936,True,False,Very Low
2024-09-07 17:02:29.194,54512.29459997584,-0.5519023056226646,54567.8704868038,False,False,Very Low
2024-09-07 18:20:49.380,54149.5518521795,-0.6654329091413724,54530.52669856371,False,True,Very Low
2024-09-07 19:09:33.390,54238.74939046367,0.16472442565669265,54502.72228683024,False,False,Very Low
2024-09-07 20:08:07.046,54358.127550689824,0.22009755307363932,54473.81195680638,False,False,Very Low
2024-09-07 21:13:50.979,54038.41228294185,-0.588164607858932,54393.30518748786,False,True,Very Low
2024-09-07 22:16:28.541,54014.23513028771,-0.04474067914421731,54303.74137936642,False,True,Very Low
2024-09-07 23:22:02.680,53988.87146955055,-0.04695736350978086,54185.74889658413,False,True,Very Low
2024-09-08 00:17:38.334,54121.47291189394,0.2456088425893066,54129.91722685815,False,False,Very Low
2024-09-08 01:16:25.965,54260.86694365345,0.2575577201796131,54145.819382783004,False,False,Very Low
2024-09-08 02:13:19.138,54333.79761749462,0.13440749834849886,54159.39770093028,False,False,Very Low
2024-09-08 03:09:10.446,54365.44798578636,0.058251713812751404,54160.44347737264,True,False,Very Low
2024-09-08 04:16:16.550,54445.118714845,0.14654662475965807,54218.54439621594,True,False,Very Low
2024-09-08 05:13:57.320,54485.33028643299,0.07385707394376162,54285.84370423669,True,False,Very Low
2024-09-08 06:14:26.880,54397.37848584855,-0.1614229006634771,54344.201849422134,False,False,Very Low
2024-09-08 07:13:53.359,54469.34594621885,0.13229950114050926,54393.89799718283,False,False,Very Low
2024-09-08 08:10:55.126,54401.95281399067,-0.12372671464555562,54414.053121516714,False,False,Very Low
2024-09-08 09:23:18.179,54563.238380790855,0.29647017884018023,54446.83037341618,True,False,Very Low
2024-09-08 10:19:25.429,54594.67297418731,0.05761130447772267,54479.57680033061,True,False,Very Low
2024-09-08 11:04:21.944,54607.23537231982,0.02301030017790584,54502.736322827004,True,False,Very Low
2024-09-08 12:02:19.831,54539.44726822426,-0.12413758659153284,54510.46732022577,False,False,Very Low
2024-09-08 13:11:39.103,54056.89287256887,-0.8847805026006239,54461.82651832867,False,True,Very Low
2024-09-08 14:05:22.096,54395.85929137016,0.62705494302151,54451.32842477885,False,False,Very Low
2024-09-08 15:06:54.815,54154.28103841953,-0.4441114748396924,54415.946742554406,False,False,Very Low
2024-09-08 16:07:29.562,53860.12093070046,-0.543189018630641,54315.50139254149,False,True,Very Low
2024-09-08 17:06:30.106,53979.44957907279,0.22155287866112428,54227.612336096565,False,False,Very Low
2024-09-08 18:13:50.003,54353.66485122087,0.6932550721916897,54191.38797593956,False,False,Very Low
2024-09-08 19:15:00.031,54480.84362725708,0.23398381026253912,54183.01602722996,True,False,Very Low
2024-09-08 20:10:41.531,54311.814163033945,-0.3102548583490905,54219.433354439265,False,False,Very Low
2024-09-08 21:03:59.788,54382.03265562702,0.1292876949061217,54217.45812076167,False,False,Very Low
2024-09-08 22:13:08.785,54387.242734740685,0.009580515584350913,54250.73836309327,False,False,Very Low
2024-09-08 23:10:07.309,54741.1679385244,0.6507504076091797,54376.60222135383,True,False,Very Low
2024-09-09 00:00:22.363,54792.40755768575,0.09360344525146669,54492.739075441394,True,False,Very Low
2024-09-09 01:09:53.045,55379.65405356332,1.071766184501577,54639.30896149032,True,False,Very Low
2024-09-09 02:14:57.725,54997.52935852939,-0.6900091767715555,54713.121208814926,False,False,Very Low
2024-09-09 03:19:47.240,55067.74234415656,0.12766570870748062,54821.11094897531,False,False,Very Low
2024-09-09 04:07:31.828,55135.17544932909,0.12245482073895975,54928.70277664702,False,False,Very Low
2024-09-09 05:15:42.212,54821.43946123485,-0.5690305427296094,54990.73088043191,False,False,Very Low
2024-09-09 06:09:45.224,54707.49549860948,-0.20784562343704183,54985.92053187264,False,True,Very Low
2024-09-09 07:27:32.808,54800.75740426883,0.17047372541796335,54987.113367098784,False,False,Very Low
2024-09-09 08:04:19.131,54965.26535533279,0.30019284195357265,54927.91498163728,False,False,Very Low
2024-09-09 09:09:24.597,55430.46154044937,0.8463457460074597,54989.76243619728,True,False,Very Low
2024-09-09 10:07:29.713,55134.26782620553,-0.5343518816412818,54999.26607648999,False,False,Very Low
2024-09-09 11:18:49.165,55246.2305613595,0.20307286115941459,55015.13109249434,False,False,Very Low
2024-09-09 12:08:10.338,55256.17389639135,0.017998214413572633,55077.23601180241,False,False,Very Low
2024-09-09 13:02:50.149,55362.61340876519,0.19262917583366956,55170.824284681796,False,False,Very Low
2024-09-09 14:09:03.939,55586.82954300069,0.4049955745044409,55283.12030450063,True,False,Very Low
2024-09-09 15:08:50.883,55099.03323770819,-0.877539354740775,55302.230001982825,False,True,Very Low
2024-09-09 16:08:18.662,55507.21032949257,0.7408062679129523,55313.194114703285,False,False,Very Low
2024-09-09 17:25:55.758,56545.18125712685,1.8699749482506078,55514.753176263475,True,False,Very Low
2024-09-09 18:27:52.438,56492.66949907503,-0.09286690197884973,55692.81588165141,False,False,Very Low
2024-09-09 19:27:01.188,56719.453434116745,0.40143957977667455,55901.85581561218,True,False,Very Low
